timestamps,SPEED,T_UUT_EM_InCoolMeas,T_UUT_EM_OutCoolMeas,TORQUE,Qcool,T_UUT_EM_Winding,Ierms_Xion_ACCalc,,,Cp [kJ/kg K],L/min,m3/s,Density kg/m3
s,rpm,°C,°C,Nm,W,°C,A,,,3350,6,0.0001,1070
121,4183.721191,23.50827026,24.90822983,57.94607925,501.8155058,49.41413116,240.3354034,,,,,,
121.5,4300.691895,23.54092026,24.94342041,49.72600174,502.7261797,49.51306152,256.4782104,,,,,,
122,4348.555176,23.53812027,24.94470024,41.41909027,504.1885907,49.61209869,191.2209015,,,,,,
122.5,4389.571777,23.53750992,24.92575073,38.67707825,497.6149199,49.71144104,171.1752014,,,,,,
123,4430.200195,23.52916908,24.95660019,38.92739105,511.6626801,49.81248856,166.675705,,,,,,
123.5,4473.354004,23.53933907,24.95446968,36.81203079,507.253569,49.90851974,170.3811951,,,,,,
124,4517.662109,23.5449791,24.96633911,36.79774094,509.4864977,50.01042175,155.0028076,,,,,,
124.5,4539.323242,23.52709961,24.99518013,37.80886078,526.2334626,50.10884857,162.8690948,,,,,,
125,4568,23.55559921,24.98608017,41.64813995,512.755899,50.2060585,163.164093,,,,,,
125.5,4611.451172,23.53960991,24.9996891,45.93296051,523.3653868,50.29878998,187.7763977,,,,,,
126,4662.383789,23.56421089,25.00247002,47.35597992,515.5439833,50.39358902,204.3450012,,,,,,
126.5,4722.388184,23.54453087,24.99106026,47.36989975,518.5084593,50.48426819,204.4192047,,,,,,
127,4771.608887,23.59841919,25.02504921,47.40649033,511.3755307,50.5716095,204.1820984,,,,,,
127.5,4817.338867,23.57464981,25.01046944,47.38264084,514.6695449,50.66418839,204.031601,,,,,,
128,4870.413086,23.57711983,25.04394913,48.33473969,525.7849626,50.74840927,208.4346008,,,,,,
128.5,4923.030762,23.60619926,25.04965019,48.39168167,517.404985,50.84244156,212.6428986,,,,,,
129,4971.312988,23.60013008,25.03763008,48.41223907,515.271875,50.93270111,209.0489044,,,,,,
129.5,5019.891113,23.59766006,25.0571003,48.52040863,523.1363509,51.01576996,209.9936066,,,,,,
130,5069.359863,23.6015892,25.07589912,49.63330841,528.4663913,51.10523987,210.7483063,,,,,,
130.5,5112.856934,23.61529922,25.09848022,49.66947174,531.6462294,51.19662857,220.2073059,,,,,,
131,5155.395996,23.61017036,25.0940609,48.57648087,531.9005617,51.28723145,213.3616028,,,,,,
